[2020-May-13 19:48:39] Creating Device
[2020-May-13 19:48:40] Creating Game resources
[2020-May-13 19:48:40] Creating Pseudo3DCamera
[2020-May-13 19:48:40] Creating BloomCamera
[2020-May-13 19:48:40] Loading: "Resources/Sun.png"
[2020-May-13 19:48:40] Loading: "Resources/Border.png"
[2020-May-13 19:48:40] Loading: "Resources/Palm.png"
[2020-May-13 19:48:40] Loading: "Resources/Tower.png"
[2020-May-13 19:48:40] Loading: "Resources/Mountains.png"
[2020-May-13 19:48:40] Loading: "Resources/CarBack.png"
[2020-May-13 19:48:40] Loading: "Resources/CarFront.png"
[2020-May-13 19:48:40] Loading: "Resources/MotorBack.png"
[2020-May-13 19:48:40] Loading: "Resources/Life.png"
[2020-May-13 19:48:40] Loading: "Resources/Car.png"
[2020-May-13 19:48:40] Creating UI
[2020-May-13 19:48:40] Loading: "Resources/UI/Replay.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/ReplayPressed.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/Quit.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/QuitPressed.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/Resume.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/ResumePressed.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/Pause.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/PausePressed.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/Speedometer.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/SpeedPointer.png"
[2020-May-13 19:48:40] Loading: "Resources/UI/Life17.png"
[2020-May-13 19:48:40] Loading: "Resources/Fonts/VCR17.spritefont"
[2020-May-13 19:48:40] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:40] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:40] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:40] Loading: "Resources/UI/ScoreBar.png"
[2020-May-13 19:48:40] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:40] Loading: "Resources/Fonts/VCR32.spritefont"
[2020-May-13 19:48:40] Creating window size dependent resources
[2020-May-13 19:48:41] Creating Game resources
[2020-May-13 19:48:41] Creating Pseudo3DCamera
[2020-May-13 19:48:41] Creating BloomCamera
[2020-May-13 19:48:41] Loading: "Resources/Sun.png"
[2020-May-13 19:48:41] Loading: "Resources/Border.png"
[2020-May-13 19:48:41] Loading: "Resources/Palm.png"
[2020-May-13 19:48:41] Loading: "Resources/Tower.png"
[2020-May-13 19:48:41] Loading: "Resources/Mountains.png"
[2020-May-13 19:48:41] Loading: "Resources/CarBack.png"
[2020-May-13 19:48:41] Loading: "Resources/CarFront.png"
[2020-May-13 19:48:41] Loading: "Resources/MotorBack.png"
